file ; preprocess ; preprocesstime ; abs ; abstime ; solver ; result ; solvetime
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavahinted2 ; 0:00.00  ; dataabs2c2 ; 0:00.54  ; 120sz3 ; timeout solver      ; 2:00.01 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavahinted2 ; 0:00.00  ; dataabs2c2acker ; 0:00.81  ; 120sz3 ; timeout solver      ; 2:00.71 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavahinted2 ; 0:00.00  ; noabs ; 0:00.00  ; 120sz3 ; unsat      ; 0:00.07 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavaoldhinted ; 0:00.01  ; 120sdatabs ; 0:00.86  ; 120sz3 ; unsat      ; 0:00.07 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavaoldhinted ; 0:00.01  ; 120sdatabsacker ; 0:01.20  ; 120sz3 ; unsat      ; 0:00.05 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavaoldhinted ; 0:00.01  ; 30svaphor ; 0:00.00  ; 120sz3 ; unsat      ; 0:00.09 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavaoldhinted ; 0:00.01  ; dataabs2 ; 0:00.03  ; 120sz3 ; unsat      ; 0:00.13 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavaoldhinted ; 0:00.01  ; dataabs2acker ; 0:00.05  ; 120sz3 ; unsat      ; 0:00.09 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavaoldhinted ; 0:00.01  ; dataabs2c2 ; 0:00.52  ; 120sz3 ; timeout solver      ; 2:00.01 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavaoldhinted ; 0:00.01  ; dataabs2c2acker ; 0:00.78  ; 120sz3 ; timeout solver      ; 2:00.54 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavaoldhinted ; 0:00.01  ; noabs ; 0:00.00  ; 120sz3 ; unsat      ; 0:00.08 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavaoldhinted1 ; 0:00.02  ; 120sdatabs ; 0:01.15  ; 120sz3 ; unsat      ; 0:00.12 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavaoldhinted1 ; 0:00.02  ; 120sdatabsacker ; 0:00.94  ; 120sz3 ; unsat      ; 0:00.07 
ModifiedSAS16exp/buggy/esop2010_array_copyodd_buggy ; 10scvjavaoldhinted1 ; 0:00.02  ; 30svaphor ; 0:00.01  ; 120sz3 ; unsat      ; 0:00.09 
