file ; preprocess ; preprocesstime ; abs ; abstime ; solver ; result ; solvetime
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjava ; 0:00.00  ; 120sdatabsacker ; 0:00.74  ; 30sz3 ; unsat      ; 0:00.13 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjava ; 0:00.00  ; 30svaphor ; 0:00.00  ; 30sz3 ; unsat      ; 0:00.10 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjava ; 0:00.00  ; noabs ; 0:00.00  ; 30sz3 ; unsat      ; 0:00.13 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted ; 0:00.00  ; 120sdatabs ; 0:00.97  ; 30sz3 ; unsat      ; 0:00.09 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted ; 0:00.00  ; 120sdatabsacker ; 0:00.96  ; 30sz3 ; unsat      ; 0:00.14 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted ; 0:00.00  ; 30svaphor ; 0:00.01  ; 30sz3 ; unsat      ; 0:00.13 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted ; 0:00.00  ; noabs ; 0:00.00  ; 30sz3 ; unsat      ; 0:00.10 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted1 ; 0:00.00  ; 120sdatabs ; 0:00.95  ; 30sz3 ; unsat      ; 0:00.19 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted1 ; 0:00.00  ; 120sdatabsacker ; 0:01.01  ; 30sz3 ; unsat      ; 0:00.07 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted1 ; 0:00.00  ; 30svaphor ; 0:00.00  ; 30sz3 ; unsat      ; 0:00.12 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted1 ; 0:00.00  ; noabs ; 0:00.00  ; 30sz3 ; unsat      ; 0:00.13 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted2 ; 0:00.00  ; 120sdatabs ; 0:00.89  ; 30sz3 ; unsat      ; 0:00.14 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted2 ; 0:00.00  ; 120sdatabsacker ; 0:01.10  ; 30sz3 ; unsat      ; 0:00.10 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted2 ; 0:00.00  ; 30svaphor ; 0:00.00  ; 30sz3 ; unsat      ; 0:00.16 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavahinted2 ; 0:00.00  ; noabs ; 0:00.01  ; 30sz3 ; unsat      ; 0:00.08 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted ; 0:00.01  ; 120sdatabs ; 0:00.91  ; 30sz3 ; unsat      ; 0:00.15 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted ; 0:00.01  ; 120sdatabsacker ; 0:00.94  ; 30sz3 ; unsat      ; 0:00.09 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted ; 0:00.01  ; 30svaphor ; 0:00.00  ; 30sz3 ; unsat      ; 0:00.15 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted ; 0:00.01  ; noabs ; 0:00.00  ; 30sz3 ; unsat      ; 0:00.09 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted1 ; 0:00.02  ; 120sdatabs ; 0:00.84  ; 30sz3 ; unsat      ; 0:00.10 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted1 ; 0:00.02  ; 120sdatabsacker ; 0:00.94  ; 30sz3 ; unsat      ; 0:00.14 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted1 ; 0:00.02  ; 30svaphor ; 0:00.00  ; 30sz3 ; unsat      ; 0:00.12 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted1 ; 0:00.02  ; noabs ; 0:00.00  ; 30sz3 ; unsat      ; 0:00.09 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted2 ; 0:00.02  ; 120sdatabs ; 0:00.88  ; 30sz3 ; unsat      ; 0:00.11 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted2 ; 0:00.02  ; 120sdatabsacker ; 0:00.79  ; 30sz3 ; unsat      ; 0:00.08 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted2 ; 0:00.02  ; 30svaphor ; 0:00.01  ; 30sz3 ; unsat      ; 0:00.11 
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy ; 10scvjavaoldhinted2 ; 0:00.02  ; noabs ; 0:00.00  ; 30sz3 ; unsat      ; 0:00.09 
ModifiedSAS16exp/buggy/esop2010_array_reverse_buggy ; 10scvjava ; 0:00.01  ; 120sdatabs ; 0:01.31  ; 30sz3 ; unsat      ; 0:00.09 
ModifiedSAS16exp/buggy/esop2010_array_reverse_buggy ; 10scvjava ; 0:00.01  ; 120sdatabsacker ; 0:01.28  ; 30sz3 ; unsat      ; 0:00.10 
ModifiedSAS16exp/buggy/esop2010_array_reverse_buggy ; 10scvjava ; 0:00.01  ; 30svaphor ; 0:00.00  ; 30sz3 ; unsat      ; 0:00.08 
ModifiedSAS16exp/buggy/esop2010_array_reverse_buggy ; 10scvjava ; 0:00.01  ; noabs ; 0:00.00  ; 30sz3 ; unsat      ; 0:00.08 
ModifiedSAS16exp/buggy/esop2010_array_reverse_buggy ; 10scvjavahinted ; 0:00.01  ; 120sdatabs ; 0:01.25  ; 30sz3 ; unsat      ; 0:00.03 
ModifiedSAS16exp/buggy/esop2010_array_reverse_buggy ; 10scvjavahinted ; 0:00.01  ; 120sdatabsacker ; 0:01.46  ; 30sz3 ; unsat      ; 0:00.08 
ModifiedSAS16exp/buggy/esop2010_array_reverse_buggy ; 10scvjavahinted ; 0:00.01  ; 30svaphor ; 0:00.01  ; 30sz3 ; unsat      ; 0:00.12 
ModifiedSAS16exp/buggy/esop2010_array_reverse_buggy ; 10scvjavahinted ; 0:00.01  ; noabs ; 0:00.00  ; 30sz3 ; unsat      ; 0:00.07 
ModifiedSAS16exp/buggy/esop2010_array_reverse_buggy ; 10scvjavahinted1 ; 0:00.00  ; 120sdatabs ; 0:01.44  ; 30sz3 ; unsat      ; 0:00.14 
