                                                                                                                  120sdatabs 120sdatabsacker   30svaphor  dataabs2      dataabs2acker       dataabs2c2     dataabs2c2acker    noabs     
BUGGY                                                     HINTED     #FILEScorrect                                         4                 4          4             4                   4              0                  1          4
ModifiedSAS16exp/Correct/esop2010_array_init2i            hinted      120sz3      notbuggy   Max - iscorrect               1                 1          1             1                   1              0                  1          0          1
                                                                                             Sum - iscorrect               4                 5          6             3                   2              0                  6          0         26
                                                                                             Sum - isunsound               0                 0          0             0                   0              0                  0          0          0
                                                                                             Sum - istimeout               2                 1          0             3                   4              6                  0          6         22
                                                                                             Sum - iserror                 0                 0          0             0                   0              0                  0          0          0
                                                                                             Sum - isunknown               0                 0          0             0                   0              0                  0          0          0
                                                          nothinted   120sz3      notbuggy   Max - iscorrect               0                 0          0             0                   0              0                  0          0          0
                                                                                             Sum - iscorrect               0                 0          0             0                   0              0                  0          0          0
                                                                                             Sum - isunsound               0                 0          0             0                   0              0                  0          0          0
                                                                                             Sum - istimeout               3                 3          3             3                   3              3                  3          3         24
                                                                                             Sum - iserror                 0                 0          0             0                   0              0                  0          0          0
                                                                                             Sum - isunknown               0                 0          0             0                   0              0                  0          0          0
ModifiedSAS16exp/Correct/esop2010_array_initcte           hinted      120sz3      notbuggy   Max - iscorrect               1                 1          1             1                   1              0                  1          0          1
                                                                                             Sum - iscorrect               6                 6          4             6                   6              0                  6          0         34
                                                                                             Sum - isunsound               0                 0          0             0                   0              0                  0          0          0
                                                                                             Sum - istimeout               0                 0          2             0                   0              6                  0          6         14
                                                                                             Sum - iserror                 0                 0          0             0                   0              0                  0          0          0
                                                                                             Sum - isunknown               0                 0          0             0                   0              0                  0          0          0
                                                          nothinted   120sz3      notbuggy   Max - iscorrect               0                 0          0             0                   0              0                  0          0          0
                                                                                             Sum - iscorrect               0                 0          0             0                   0              0                  0          0          0
                                                                                             Sum - isunsound               0                 0          0             0                   0              0                  0          0          0
                                                                                             Sum - istimeout               3                 3          3             3                   3              3                  3          3         24
                                                                                             Sum - iserror                 0                 0          0             0                   0              0                  0          0          0
                                                                                             Sum - isunknown               0                 0          0             0                   0              0                  0          0          0
ModifiedSAS16exp/Correct/esop2010_array_reverse           hinted      120sz3      notbuggy   Max - iscorrect               1                 1          0             1                   1              0                  0          0          1
                                                                                             Sum - iscorrect               5                 5          0             5                   5              0                  0          0         20
                                                                                             Sum - isunsound               0                 0          0             0                   0              0                  0          0          0
                                                                                             Sum - istimeout               1                 1          6             1                   1              6                  5          6         27
                                                                                             Sum - iserror                 0                 0          0             0                   0              0                  1          0          1
                                                                                             Sum - isunknown               0                 0          0             0                   0              0                  0          0          0
                                                          nothinted   120sz3      notbuggy   Max - iscorrect               0                 0          0             0                   0              0                  0          0          0
                                                                                             Sum - iscorrect               0                 0          0             0                   0              0                  0          0          0
