file;preprocess;preprocesstime;abs;abstime;solver;result;solvetime
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy;600scvjava_hinted_pn2;0:00.00;dataabs_basic_cell2;0:00.06;z3_satrd0_slsrd_0_spacerrd0;timeoutsolver;0:40.01
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy;600scvjava_hinted_pn2;0:00.00;dataabs_basic_cell2;0:00.06;z3_satrd0_slsrd_0_spacerrd1;timeoutsolver;0:40.01
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy;600scvjava_hinted_pn2;0:00.00;noabs;0:00.00;z3_satrd0_slsrd_0_spacerrd0;unsat;0:00.10
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy;600scvjava_hinted_pn2;0:00.00;noabs;0:00.00;z3_satrd0_slsrd_0_spacerrd1;unsat;0:00.03
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy;600scvjava_hinted_pn2;0:00.00;vaphor_cell1;0:00.00;z3_satrd0_slsrd_0_spacerrd0;unsat;0:00.17
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy;600scvjava_hinted_pn2;0:00.00;vaphor_cell1;0:00.00;z3_satrd0_slsrd_0_spacerrd1;unsat;0:00.06
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy;600scvjava_hinted_pn2;0:00.00;vaphor_cell2;0:00.00;z3_satrd0_slsrd_0_spacerrd0;unsat;0:00.05
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy;600scvjava_hinted_pn2;0:00.00;vaphor_cell2;0:00.00;z3_satrd0_slsrd_0_spacerrd1;unsat;0:00.04
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy;600scvjava_nohints_pn0;0:00.00;dataabs_acker_cell1;0:00.03;z3_satrd0_slsrd_0_spacerrd0;unsat;0:00.03
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy;600scvjava_nohints_pn0;0:00.00;dataabs_acker_cell1;0:00.03;z3_satrd0_slsrd_0_spacerrd1;unsat;0:00.03
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy;600scvjava_nohints_pn0;0:00.00;dataabs_acker_cell2;0:00.13;z3_satrd0_slsrd_0_spacerrd0;unsat;0:00.17
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy;600scvjava_nohints_pn0;0:00.00;dataabs_acker_cell2;0:00.13;z3_satrd0_slsrd_0_spacerrd1;unsat;0:00.17
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy;600scvjava_nohints_pn0;0:00.00;dataabs_basic_cell1;0:00.03;z3_satrd0_slsrd_0_spacerrd0;unsat;0:00.04
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy;600scvjava_nohints_pn0;0:00.00;dataabs_basic_cell1;0:00.03;z3_satrd0_slsrd_0_spacerrd1;unsat;0:00.04
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy;600scvjava_nohints_pn0;0:00.00;dataabs_basic_cell2;0:00.05;z3_satrd0_slsrd_0_spacerrd0;timeoutsolver;0:40.01
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy;600scvjava_nohints_pn0;0:00.00;dataabs_basic_cell2;0:00.05;z3_satrd0_slsrd_0_spacerrd1;timeoutsolver;0:40.01
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy;600scvjava_nohints_pn0;0:00.00;noabs;0:00.00;z3_satrd0_slsrd_0_spacerrd0;unsat;0:00.05
ModifiedSAS16exp/buggy/esop2010_array_initeven_buggy;600scvjava_nohints_pn0;0:00.00;noabs;0:00.00;z3_satrd0_slsrd_0_spacerrd1;unsat;0:00.03
